ticker,bar_ts,fetched_at,asof_date,close,is_stale
AAPL,2026-07-08T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-08,313.3900146484375,1
AAPL,2026-07-09T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-09,316.2200012207031,1
AAPL,2026-07-10T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-10,315.32000732421875,1
AAPL,2026-07-13T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-13,317.30999755859375,1
AAPL,2026-07-14T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-14,314.8599853515625,1
AAPL,2026-07-15T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-15,327.5,1
AAPL,2026-07-16T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-16,333.260009765625,1
AAPL,2026-07-17T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-17,333.739990234375,1
AAPL,2026-07-20T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-20,326.5899963378906,1
AAPL,2026-07-21T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-21,327.739990234375,1
AAPL,2026-07-22T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-22,325.8900146484375,1
AAPL,2026-07-23T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-23,321.6600036621094,1
AAPL,2026-07-24T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-24,333.0199890136719,1
AAPL,2026-07-27T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-27,336.9100036621094,1
AAPL,2026-07-28T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-28,340.0799865722656,1
AAPL,2026-07-29T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-29,338.19000244140625,1
AAPL,2026-07-30T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-30,333.42999267578125,1
AAPL,2026-07-31T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-31,308.9100036621094,1
AAPL,2026-08-03T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-03,303.4200134277344,1
AAPL,2026-08-04T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-04,309.3800048828125,1
AAPL,2026-08-05T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-05,311.0,1
AAPL,2026-08-06T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-06,312.4100036621094,1
AAPL,2026-08-07T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-07,313.3299865722656,1
MSFT,2026-07-08T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-08,383.3399963378906,1
MSFT,2026-07-09T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-09,384.3599853515625,1
MSFT,2026-07-10T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-10,385.1000061035156,1
MSFT,2026-07-13T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-13,390.989990234375,1
MSFT,2026-07-14T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-14,384.92999267578125,1
MSFT,2026-07-15T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-15,395.6300048828125,1
MSFT,2026-07-16T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-16,401.1000061035156,1
MSFT,2026-07-17T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-17,393.82000732421875,1
MSFT,2026-07-20T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-20,402.2900085449219,1
MSFT,2026-07-21T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-21,397.75,1
MSFT,2026-07-22T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-22,390.3399963378906,1
MSFT,2026-07-23T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-23,381.5799865722656,1
MSFT,2026-07-24T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-24,381.70001220703125,1
MSFT,2026-07-27T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-27,389.1000061035156,1
MSFT,2026-07-28T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-28,393.3500061035156,1
MSFT,2026-07-29T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-29,390.5400085449219,1
MSFT,2026-07-30T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-30,451.1000061035156,1
MSFT,2026-07-31T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-31,464.7200012207031,1
MSFT,2026-08-03T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-03,487.6499938964844,1
MSFT,2026-08-04T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-04,492.80999755859375,1
MSFT,2026-08-05T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-05,487.4599914550781,1
MSFT,2026-08-06T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-06,499.8599853515625,1
MSFT,2026-08-07T20:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-07,499.989990234375,1
0700.HK,2026-07-07T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-07,461.20001220703125,1
0700.HK,2026-07-08T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-08,478.79998779296875,1
0700.HK,2026-07-09T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-09,469.6000061035156,1
0700.HK,2026-07-10T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-10,460.20001220703125,1
0700.HK,2026-07-13T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-13,457.6000061035156,1
0700.HK,2026-07-14T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-14,456.20001220703125,1
0700.HK,2026-07-15T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-15,474.0,1
0700.HK,2026-07-16T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-16,484.0,1
0700.HK,2026-07-17T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-17,461.6000061035156,1
0700.HK,2026-07-20T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-20,477.79998779296875,1
0700.HK,2026-07-21T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-21,474.0,1
0700.HK,2026-07-22T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-22,440.6000061035156,1
0700.HK,2026-07-23T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-23,445.20001220703125,1
0700.HK,2026-07-24T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-24,434.6000061035156,1
0700.HK,2026-07-27T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-27,443.0,1
0700.HK,2026-07-28T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-28,447.20001220703125,1
0700.HK,2026-07-29T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-29,466.3999938964844,1
0700.HK,2026-07-30T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-30,471.79998779296875,1
0700.HK,2026-07-31T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-07-31,475.20001220703125,1
0700.HK,2026-08-03T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-03,490.3999938964844,1
0700.HK,2026-08-04T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-04,487.6000061035156,1
0700.HK,2026-08-05T08:00:00+00:00,2026-08-09T13:28:51+00:00,2026-08-05,492.20001220703125,1
